Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00346272239026099,0.000623251930132351,-0.0465996448550183,0,0,0,1.80391316470021,0.00440014038985328,5.99117352618996E-06,1.41454502191468E-19,0.00408900109576873,5.57632229424048E-19,0.0075706571645213,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/base_link.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/base_link.STL,,Full_MTREbot_example_assembly.step-1/Part 1-18.step-1;Full_MTREbot_example_assembly.step-1/Part 1-19.step-1;Full_MTREbot_example_assembly.step-1/Part 1-20.step-2;Full_MTREbot_example_assembly.step-1/Part 1-19.step-2;Full_MTREbot_example_assembly.step-1/Part 1-20.step-1;Full_MTREbot_example_assembly.step-1/StepDriver sheetmetal.step-2;Full_MTREbot_example_assembly.step-1/StepDriver sheetmetal.step-4;Full_MTREbot_example_assembly.step-1/StepDriver sheetmetal.step-3;Full_MTREbot_example_assembly.step-1/StepDriver sheetmetal.step-1;Full_MTREbot_example_assembly.step-1/Pluggable Terminal Block.step-3;Full_MTREbot_example_assembly.step-1/StepDriver sheetmetal-14.step-1;Full_MTREbot_example_assembly.step-1/Part 1-7.step-7;Full_MTREbot_example_assembly.step-1/Part 1-7.step-3;Full_MTREbot_example_assembly.step-1/Part 1-7.step-6;Full_MTREbot_example_assembly.step-1/Part 1-17.step-4;Full_MTREbot_example_assembly.step-1/Pluggable Terminal Block.step-4;Full_MTREbot_example_assembly.step-1/Pluggable Terminal Block.step-2;Full_MTREbot_example_assembly.step-1/Part 1-7.step-4;Full_MTREbot_example_assembly.step-1/Part 1-7.step-5;Full_MTREbot_example_assembly.step-1/Part 1-17.step-1;Full_MTREbot_example_assembly.step-1/Part 1-17.step-3;Full_MTREbot_example_assembly.step-1/Part 1-17.step-2;Full_MTREbot_example_assembly.step-1/Part 1-7.step-1;Full_MTREbot_example_assembly.step-1/StepDriver sheetmetal-14.step-4;Full_MTREbot_example_assembly.step-1/StepDriver sheetmetal-14.step-2;Full_MTREbot_example_assembly.step-1/Part 1-7.step-8;Full_MTREbot_example_assembly.step-1/Part 1-7.step-2;Full_MTREbot_example_assembly.step-1/Part 1-7.step-9;Full_MTREbot_example_assembly.step-1/Part 1-7.step-10;Full_MTREbot_example_assembly.step-1/StepDriver sheetmetal-12.step-1;Full_MTREbot_example_assembly.step-1/StepDriver sheetmetal-14.step-3;Full_MTREbot_example_assembly.step-1/StepDriver sheetmetal-12.step-3;Full_MTREbot_example_assembly.step-1/Pluggable Terminal Block.step-1;Full_MTREbot_example_assembly.step-1/Part 1-16.step-3;Full_MTREbot_example_assembly.step-1/Part 1-16.step-4;Full_MTREbot_example_assembly.step-1/Part 1-16.step-2;Full_MTREbot_example_assembly.step-1/Part 1-16.step-1,Base_CS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rear_right_wheel_link,-4.44385678477488E-07,0.00768401029286383,-6.06663930876605E-05,0,0,0,0.0711333913730136,7.86302257754291E-05,1.54950410415796E-09,-7.24961410527428E-10,0.000137458787468017,-6.78975663776968E-10,7.84461606299112E-05,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/rear_right_wheel_link.STL,0.231372549019608,0.231372549019608,0.231372549019608,1,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/rear_right_wheel_link.STL,,"Full_MTREbot_example_assembly.step-1/RC Crawler Tyre 1.9inch x 108mm_Fastrax Kong Crawler style.step-3;Full_MTREbot_example_assembly.step-1/RC Crawler Wheel Rim 1.9inch.step-4;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N_1.step-2;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S_4.step-4;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N_2.step-1;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S_3.step-1;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N_4.step-4;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N_3.step-1;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S_2.step-3;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N.step-1;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S_1.step-4;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S.step-1",rear_right_wheel_cs,rear_right_wheel_axis,rear_right_wheel_joint,continuous,-0.0799895510014449,-0.158220099441903,-0.104099999999998,0,0,0,base_link,0,1,0,,,,,,,,,,,,
front_right_wheel_link,-4.46169832635235E-07,0.00768400803972766,-6.06662545437064E-05,0,0,0,0.0711333901914001,7.86301650052177E-05,1.55275788385008E-09,-7.08138598534008E-10,0.000137458823618559,-6.77565147996471E-10,7.84460727691053E-05,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/front_right_wheel_link.STL,0.231372549019608,0.231372549019608,0.231372549019608,1,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/front_right_wheel_link.STL,,"Full_MTREbot_example_assembly.step-1/RC Crawler Tyre 1.9inch x 108mm_Fastrax Kong Crawler style.step-2;Full_MTREbot_example_assembly.step-1/RC Crawler Wheel Rim 1.9inch.step-2;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N_1.step-1;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S_4.step-3;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N_2.step-2;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S_3.step-4;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N_4.step-2;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N_3.step-4;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S_2.step-2;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N.step-4;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S_1.step-3;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S.step-2",front_right_wheel_cs,front_right_wheel_axis,front_right_wheel_joint,continuous,0.0867141609374071,-0.158220099441902,-0.106099999999998,0,0,0,base_link,0,1,0,,,,,,,,,,,,
front_left_wheel_link,4.45812128074818E-07,-0.007684008343879,-6.06663561565357E-05,0,0,0,0.0711333869914245,7.86302178358606E-05,1.55294799784185E-09,7.11242199404249E-10,0.000137458818664094,6.83774030050134E-10,7.84461273758301E-05,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/front_left_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/front_left_wheel_link.STL,,"Full_MTREbot_example_assembly.step-1/RC Crawler Wheel Rim 1.9inch.step-1;Full_MTREbot_example_assembly.step-1/RC Crawler Tyre 1.9inch x 108mm_Fastrax Kong Crawler style.step-4;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S.step-3;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N_1.step-3;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N.step-3;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S_1.step-1;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N_3.step-3;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S_2.step-4;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N_4.step-1;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S_3.step-2;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N_2.step-3;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S_4.step-1",front_left_wheel_cs,front_left_wheel_axis,front_left_wheel_joint,continuous,0.0867141609374149,0.159979900558096,-0.104099999999999,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
rear_left_wheel_link,4.45419792938218E-07,-0.00768400924280971,-6.06686314203464E-05,0,0,0,0.0711333857605617,7.86302033732986E-05,1.55315095035601E-09,7.09427539092408E-10,0.000137458822157141,6.83448121062748E-10,7.84461126800554E-05,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/rear_left_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/rear_left_wheel_link.STL,,"Full_MTREbot_example_assembly.step-1/RC Crawler Wheel Rim 1.9inch.step-3;Full_MTREbot_example_assembly.step-1/RC Crawler Tyre 1.9inch x 108mm_Fastrax Kong Crawler style.step-1;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S_1.step-2;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N.step-2;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S.step-4;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N_1.step-4;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N_2.step-4;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S_4.step-2;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S_3.step-3;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N_4.step-3;Full_MTREbot_example_assembly.step-1/pan cross head_am_B18.6.7M - M2 x 0.4 x 6 Type I Cross Recessed PHMS --6S_2.step-1;Full_MTREbot_example_assembly.step-1/hex nut style 1_am_B18.2.4.1M - Hex nut, Style 1,  M2 x 0.4 --D-N_3.step-2",rear_left_wheel_cs,rear_left_wheel_axis,rear_left_wheel_joint,continuous,-0.0799895510014411,0.159979900558096,-0.106099999999999,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
lidar_link,-5.29244803221252E-06,9.11986732532455E-06,-0.0220473705688433,0,0,0,0.0732236402007256,2.08868776693672E-05,-4.38440230324523E-09,-6.56969165240785E-09,2.08908808229494E-05,1.13207944363782E-08,2.29270768169295E-05,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/lidar_link.STL,0,0,0,1,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/lidar_link.STL,,Lidar1-1,lidar_cs,lidar_axis,lidar_joint,fixed,-0.0908615203408174,0.00179684818200293,0.04,0,0,0,base_link,0,0,0,,,,,,,,,,,,
robot_camera_link,0.00472689816509891,6.48813161475137E-05,-8.69192460145607E-07,0,0,0,0.00664258946450686,1.29119737700084E-06,-1.4106412556089E-09,1.88978710068548E-11,1.91515193877644E-07,1.36704302280924E-08,1.21176831848954E-06,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/robot_camera_link.STL,0,0,0,1,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/robot_camera_link.STL,,camera-3,robot_camera_cs,robot_camera_axis,robot_camera_joint,fixed,-0.133237695032014,0.00183257540465381,-0.0160127626540696,0,0,0,base_link,0,0,0,,,,,,,,,,,,
arm_base_link,0,0,0.0403498779623327,0,0,0,0.142388000330515,9.83345891516237E-05,-6.96029251661618E-21,-1.01763910484271E-21,0.000101365342787414,-1.48551349217465E-20,5.02640958638419E-05,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/arm_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/arm_base_link.STL,,Full_MTREbot_example_assembly.step-1/Assembly 1 _1_.step-1/Part 1-4.step-1;Full_MTREbot_example_assembly.step-1/Part 1-3.step-1;Full_MTREbot_example_assembly.step-1/Part 1.step-1;Full_MTREbot_example_assembly.step-1/Part 1.step-3;Full_MTREbot_example_assembly.step-1/Part 1.step-2;Full_MTREbot_example_assembly.step-1/Part 1.step-4,arm_base_cs,Axis_arm_base_joint,arm_base_joint,fixed,0.0507123049679875,0.0147075709317677,0.001999999999999,0,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
arm_link_1,-2.77555756156289E-17,0.0113073455356378,0.0303143611088295,0,0,0,0.163710086835562,0.000104459286205703,8.78167577896543E-21,-8.2100588179326E-21,6.02714441850271E-05,2.38572566237732E-12,0.000125597627748453,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/arm_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/arm_link_1.STL,,Full_MTREbot_example_assembly.step-1/Assembly 1 _1_.step-1/Part 1-4.step-2;Full_MTREbot_example_assembly.step-1/Assembly 1 _1_.step-1/Part 1-6.step-2;Full_MTREbot_example_assembly.step-1/Assembly 1 _1_.step-1/Part 1-5.step-1,arm_joint_1_cs,arm_joint_1_axis,arm_joint_1,continuous,0,0,0.089,0,0,0,arm_base_link,0,0,-1,,,,,,,,,,,,
arm_link_2,-0.000119875100069416,-0.0176670918313967,0.0398213655713242,0,0,0,0.0971483686204906,8.55706911788115E-05,6.78147511593631E-13,1.07278871725056E-11,9.05147926632669E-05,-1.11224929969101E-12,1.0467007345738E-05,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/arm_link_2.STL,0.262745098039216,0.282352941176471,0.301960784313725,1,0,0,0,0,0,0,package://mobile_arm_robot.SLDASM/meshes/arm_link_2.STL,,Full_MTREbot_example_assembly.step-1/Assembly 1 _1_.step-1/Part 1-1.step-1;Full_MTREbot_example_assembly.step-1/Assembly 1 _1_.step-1/Part 1-0.step-8;Full_MTREbot_example_assembly.step-1/Assembly 1 _1_.step-1/Part 1-0.step-6;Full_MTREbot_example_assembly.step-1/Assembly 1 _1_.step-1/Part 1-2.step-2;Full_MTREbot_example_assembly.step-1/Assembly 1 _1_.step-1/Part 1-0.step-2;Full_MTREbot_example_assembly.step-1/Assembly 1 _1_.step-1/Part 1-0.step-3;Full_MTREbot_example_assembly.step-1/Assembly 1 _1_.step-1/Part 1-0.step-5;Full_MTREbot_example_assembly.step-1/Assembly 1 _1_.step-1/Part 1-0.step-4;Full_MTREbot_example_assembly.step-1/Assembly 1 _1_.step-1/Part 1-2.step-1;Full_MTREbot_example_assembly.step-1/Assembly 1 _1_.step-1/Part 1-0.step-7;Full_MTREbot_example_assembly.step-1/Assembly 1 _1_.step-1/Part 1-0.step-1,arm_joint_2_cs,arm_joint_2_axis,arm_joint_2,continuous,0,-0.03575,0.0361926165743719,0,0,0,arm_link_1,0,1,0,,,,,,,,,,,,
